PC,MIN
21TSC-T1,299985
21TSC-T1,299985
21TSC-T1,299888
21TSC-T1,299723
21TSC-T1,299723
21TSC-T1,299707
21TSC-T1,298724
21TSC-T1,298721
21TSC-T1,298720
21TSC-T1,298719
21TSC-T1,298718
21TSC-T1,298717
21TSC-T1,298716
21TSC-T1,298715
21TSC-T1,298714
21TSC-T1,298712
21TSC-T1,298711
21TSC-T1,297494
21TSC-T1,295232
21TSC-T1,295232
21TSC-T2,299983
21TSC-T2,299983
21TSC-T2,299981
21TSC-T2,299944
21TSC-T2,299944
21TSC-T2,299929
21TSC-T2,299929
21TSC-T3,299997
21TSC-T3,299997
21TSC-T4,299978
21TSC-T4,299978
21TSC-T4,299971
21TSC-T4,299971
2IDKR-T1,299997
2IDKR-T1,299984
2IDKR-T1,299984
2IDKR-T1,299983
2IDKR-T1,299968
2IDKR-T1,299968
2IDKR-T1,299965
2IDKR-T1,299954
2IDKR-T1,299954
2IDKR-T1,299953
2IDKR-T1,299928
2IDKR-T1,299928
2IDKR-T1,299902
2IDKR-T1,299832
2IDKR-T1,299832
2IDKR-T1,299830
2IDKR-T1,299830
2IDKR-T1,297571
2IDKR-T1,296831
2IDKR-T1,296831
2IDKR-T1,296371
2IDKR-T1,294789
2IDKR-T1,292785
7ATC-T1,299946
7ATC-T1,299946
7ATC-T1,296846
7ATC-T1,296846
7ATC-T1,295084
7ATC-T1,294096
7ATC-T2,299997
8ARKR-T1,299976
8ARKR-T1,299976
8ARKR-T1,299718
8ARKR-T1,299718
ABCDEFGH,0
ABDPG-T1,299991
ABDPG-T1,298806
ABDPG-T1,298806
ABDPG-T1,298502
ABDPG-T1,298502
ASIQA01,298876
BENNG-E3,299594
BENNG-E3,299128
BENNG-E3,299128
BENNG-E3,299121
BENNG-E3,299121
BENNG-E3,299105
BENNG-E3,299097
BENNG-E3,299090
BENNG-E3,298864
BENNG-E3,298864
BENNG-E3,298863
BENNG-E3,298765
BENNG-E3,298765
BENNG-E3,298762
BENNG-E3,298762
BENNG-E3,298734
BENNG-E3,298734
BENNG-E3,298713
BENNG-E3,298713
BENNG-E3,298655
BENNG-E3,298655
BENNG-E3,298479
BENNG-E3,298479
BENNG-E3,298249
BENNG-E3,298249
BENNG-E3,298239
BENNG-E3,298239
BENNG-E3,298232
BENNG-E3,297965
BENNG-E3,297965
BENNG-E3,297813
BENNG-E3,297809
BENNG-E3,297809
BENNG-E3,297799
BENNG-E3,297556
BENNG-E3,297556
BENNG-E3,297555
BENNG-E3,297551
BENNG-E3,297396
BENNG-E3,297396
BENNG-E3,297385
BENNG-E3,296664
BENNG-E3,296659
BENNG-T1,296659
BENNG-T1,296658
BENNG-T1,296300
BENNG-T1,296300
